year,iso3st,grpop,pop_density
2001,ARG,1.097946728,13.7482963
2002,ARG,1.069413183,13.89611136
2003,ARG,1.033139977,14.04042182
2004,ARG,1.01407652,14.18352682
2005,ARG,1.027457722,14.33000778
2006,ARG,1.028247605,14.4781159
2007,ARG,0.991101935,14.62232222
2008,ARG,1.012888785,14.77118271
2009,ARG,1.059774707,14.92855639
2010,ARG,1.056363322,15.08709207
2011,ARG,1.064740097,15.24858862
2012,ARG,1.027661364,15.40610044
2013,ARG,0.99295899,15.55983871
2014,ARG,1.031743579,15.72120737
2015,ARG,1.047258887,15.88671424
2016,ARG,0.968911126,16.04139051
2017,ARG,0.881249595,16.18337992
2018,ARG,0.82296948,16.31711374
2019,ARG,0.710900853,16.43352554
2020,ARG,0.484665637,16.51336651
2021,ARG,0.265879395,16.55733057
1960,ARM,..,..
1961,ARM,3.364908358,..
1962,ARM,3.276749696,..
1963,ARM,3.179051183,..
1964,ARM,3.07062316,..
1965,ARM,2.951115347,..
1966,ARM,2.823072696,..
1967,ARM,2.69395741,..
1968,ARM,2.559687077,..
1969,ARM,2.367335317,..
1970,ARM,2.106467653,..
1971,ARM,1.988156616,..
1972,ARM,2.027889994,..
1973,ARM,2.065420193,..
1974,ARM,2.090796931,..
1975,ARM,2.107403724,..
1976,ARM,2.679316845,..
1977,ARM,3.303812334,..
1978,ARM,3.374811507,..
1979,ARM,2.157058786,..
1980,ARM,0.934840065,..
1981,ARM,0.89493008,..
1982,ARM,0.882597803,..
1983,ARM,0.893677591,..
1984,ARM,1.028922967,..
1985,ARM,1.106722667,..
1986,ARM,1.050003095,..
1987,ARM,1.016802787,..
1988,ARM,0.79612668,..
1989,ARM,2.588320082,..
1990,ARM,3.117463214,..
1991,ARM,1.726196749,..
1992,ARM,-1.172207953,125.4605198
1993,ARM,-3.374718642,121.2972251
1994,ARM,-2.602750464,118.1808922
1995,ARM,-1.709495092,116.1777661
1996,ARM,-0.875942923,115.1645592
1997,ARM,-0.994517949,114.0249034
1998,ARM,-1.173981559,112.6940991
1999,ARM,-1.289761243,111.2499473
2000,ARM,1.684784636,113.1401475
2001,ARM,-0.289138848,112.8134879
2002,ARM,-0.374321979,112.3919916
2003,ARM,-0.54212564,111.7843344
2004,ARM,-0.554559193,111.1661398
2005,ARM,-0.586251738,110.516333
2006,ARM,-0.615288464,109.8384264
2007,ARM,-0.631969382,109.14647
2008,ARM,-0.655422477,108.4334387
2009,ARM,-0.685835846,107.6923077
