iso3,year,banking_crises,debt_crises,currency_crises,twin_crises,triple_crises
BEN,2004,,,,,
BEN,2005,,,,,
BEN,2006,,,,,
BEN,2007,,,,,
BEN,2008,,,,,
BEN,2009,,,,,
BEN,2010,,,,,
BEN,2011,,,,,
BEN,2012,,,,,
BEN,2013,,,,,
BEN,2014,,,,,
BEN,2015,,,,,
BEN,2016,,,,,
BEN,2017,,,,,
BEN,2018,,,,,
BEN,2019,,,,,
BFA,1950,,,,,
BFA,1951,,,,,
BFA,1952,,,,,
BFA,1953,,,,,
BFA,1954,,,,,
BFA,1955,,,,,
BFA,1956,,,,,
BFA,1957,,,,,
BFA,1958,,,,,
BFA,1959,,,,,
BFA,1960,,,,,
BFA,1961,,,,,
BFA,1962,,,,,
BFA,1963,,,,,
BFA,1964,,,,,
BFA,1965,,,,,
BFA,1966,,,,,
BFA,1967,,,,,
BFA,1968,,,,,
BFA,1969,,,,,
BFA,1970,,,,,
BFA,1971,,,,,
BFA,1972,,,,,
BFA,1973,,,,,
BFA,1974,,,,,
BFA,1975,,,,,
BFA,1976,,,,,
BFA,1977,,,,,
BFA,1978,,,,,
BFA,1979,,,,,
BFA,1980,,,,,
BFA,1981,,,,,
BFA,1982,,,,,
BFA,1983,,,,,
BFA,1984,,,,,
BFA,1985,,,,,
BFA,1986,,1,,,
BFA,1987,,1,,,
BFA,1988,,1,,,
BFA,1989,,1,,,
BFA,1990,1,1,,,
BFA,1991,1,1,,,
BFA,1992,1,1,,,
BFA,1993,1,1,,,
BFA,1994,1,1,1,,
BFA,1995,,1,,,
BFA,1996,,1,,,
BFA,1997,,1,,,
BFA,1998,,1,,,
BFA,1999,,1,,,
BFA,2000,,1,,,
BFA,2001,,1,,,
BFA,2002,,1,,,
BFA,2003,,1,,,
BFA,2004,,1,,,
BFA,2005,,1,,,
BFA,2006,,1,,,
BFA,2007,,,,,
BFA,2008,,,,,
BFA,2009,,,,,
BFA,2010,,,,,
BFA,2011,,,,,
BFA,2012,,,,,
BFA,2013,,,,,
BFA,2014,,,,,
BFA,2015,,,,,
BFA,2016,,,,,
BFA,2017,,,,,
BFA,2018,,,,,
BFA,2019,,,,,
BGD,1950,,,,,
BGD,1951,,,,,
BGD,1952,,,,,
BGD,1953,,,,,
BGD,1954,,,,,
BGD,1955,,,,,
BGD,1956,,,,,
BGD,1957,,,,,
BGD,1958,,,,,
BGD,1959,,,,,
BGD,1960,,,,,
BGD,1961,,,,,
BGD,1962,,,,,
BGD,1963,,,,,
BGD,1964,,,,,
BGD,1965,,,,,
BGD,1966,,,,,
BGD,1967,,,,,
BGD,1968,,,,,
BGD,1969,,,,,
BGD,1970,,,,,
BGD,1971,,,,,
BGD,1972,,,,,
BGD,1973,,,,,
BGD,1974,,,,,
BGD,1975,,,1,,
BGD,1976,,,,,
BGD,1977,,,,,
BGD,1978,,,,,
BGD,1979,,,,,
BGD,1980,,,,,
BGD,1981,,,,,
BGD,1982,,,,,
BGD,1983,,,,,
BGD,1984,,,,,
BGD,1985,,,,,
BGD,1986,,,,,
BGD,1987,1,,,,
BGD,1988,,,,,
BGD,1989,,,,,
BGD,1990,,,,,
BGD,1991,,,,,
BGD,1992,,,,,
BGD,1993,,,,,
BGD,1994,,,,,
BGD,1995,,,,,
BGD,1996,,,,,
BGD,1997,,,,,
BGD,1998,,,,,
BGD,1999,,,,,
BGD,2000,,,,,
BGD,2001,,,,,
BGD,2002,,,,,
BGD,2003,,,,,
BGD,2004,,,,,
BGD,2005,,,,,
BGD,2006,,,,,
BGD,2007,,,,,
BGD,2008,,,,,
BGD,2009,,,,,
BGD,2010,,,,,
BGD,2011,,,,,
BGD,2012,,,,,
BGD,2013,,,,,
BGD,2014,,,,,
BGD,2015,,,,,
BGD,2016,,,,,
BGD,2017,,,,,
BGD,2018,,,,,
BGD,2019,,,,,
BGR,1950,,,,,
BGR,1951,,,,,
BGR,1952,,,,,
BGR,1953,,,,,
BGR,1954,,,,,
BGR,1955,,,,,
BGR,1956,,,,,
BGR,1957,,,,,
BGR,1958,,,,,
BGR,1959,,,,,
BGR,1960,,,,,
BGR,1961,,,,,
BGR,1962,,,,,
BGR,1963,,,,,
BGR,1964,,,,,
BGR,1965,,,,,
BGR,1966,,,,,
BGR,1967,,,,,
BGR,1968,,,,,
BGR,1969,,,,,
BGR,1970,,,,,
BGR,1971,,,,,
BGR,1972,,,,,
BGR,1973,,,,,
BGR,1974,,,,,
BGR,1975,,,,,
BGR,1976,,,,,
BGR,1977,,,,,
BGR,1978,,,,,
BGR,1979,,,,,
BGR,1980,,,,,
BGR,1981,,,,,
BGR,1982,,,,,
BGR,1983,,,,,
BGR,1984,,,,,
BGR,1985,,,,,
BGR,1986,,,,,
BGR,1987,,,,,
BGR,1988,,,,,
BGR,1989,,,,,
BGR,1990,,1,1,,
BGR,1991,,1,1,1,
BGR,1992,,1,,1,
BGR,1993,,1,1,,
BGR,1994,,1,1,,
BGR,1995,,1,,,
BGR,1996,1,1,1,,
BGR,1997,1,1,1,,
BGR,1998,,1,,,
BGR,1999,,1,,,
BGR,2000,,,,,
BGR,2001,,,,,
BGR,2002,,,,,
BGR,2003,,,,,
BGR,2004,,,,,
BGR,2005,,,,,
BGR,2006,,,,,
BGR,2007,,,,,
BGR,2008,,,,,
BGR,2009,,,,,
BGR,2010,,,,,
BGR,2011,,,,,
BGR,2012,,,,,
BGR,2013,,,,,
BGR,2014,,,,,
BGR,2015,,,,,
BGR,2016,,,,,
BGR,2017,,,,,
BGR,2018,,,,,
BGR,2019,,,,,
BIH,1950,,,,,
BIH,1951,,,,,
BIH,1952,,,,,
BIH,1953,,,,,
BIH,1954,,,,,
BIH,1955,,,,,
BIH,1956,,,,,
BIH,1957,,,,,
BIH,1958,,,,,
BIH,1959,,,,,
BIH,1960,,,,,
BIH,1961,,,,,
BIH,1962,,,,,
BIH,1963,,,,,
BIH,1964,,,,,
BIH,1965,,,,,
BIH,1966,,,,,
BIH,1967,,,,,
BIH,1968,,,,,
BIH,1969,,,,,
BIH,1970,,,,,
BIH,1971,,,,,
BIH,1972,,,,,
BIH,1973,,,,,
BIH,1974,,,,,
BIH,1975,,,,,
BIH,1976,,,,,
BIH,1977,,,,,
BIH,1978,,,,,
BIH,1979,,,,,
BIH,1980,,,,,
BIH,1981,,,,,
BIH,1982,,,,,
BIH,1983,,,,,
BIH,1984,,,,,
BIH,1985,,,,,
BIH,1986,,,,,
BIH,1987,,,,,
BIH,1988,,,,,
BIH,1989,,,,,
BIH,1990,,,,,
BIH,1991,,,,,
BIH,1992,1,,,,
BIH,1993,1,,,,
BIH,1994,1,1,,,
BIH,1995,1,1,,,
BIH,1996,1,1,,,
BIH,1997,,1,,,
BIH,1998,,1,,,
BIH,1999,,1,,,
BIH,2000,,1,,,
BIH,2001,,,,,
BIH,2002,,,,,
BIH,2003,,,,,
BIH,2004,,,,,
BIH,2005,,,,,
BIH,2006,,,,,
BIH,2007,,,,,
BIH,2008,,,,,
BIH,2009,,,,,
BIH,2010,,,,,
BIH,2011,,,,,
BIH,2012,,,,,
BIH,2013,,,,,
BIH,2014,,,,,
BIH,2015,,,,,
BIH,2016,,,,,
BIH,2017,,,,,
BIH,2018,,,,,
BIH,2019,,,,,
BLR,1950,,,,,
BLR,1951,,,,,
BLR,1952,,,,,
BLR,1953,,,,,
BLR,1954,,,,,
BLR,1955,,,,,
BLR,1956,,,,,
BLR,1957,,,,,
BLR,1958,,,,,
BLR,1959,,,,,
BLR,1960,,,,,
BLR,1961,,,,,
BLR,1962,,,,,
BLR,1963,,,,,
BLR,1964,,,,,
BLR,1965,,,,,
BLR,1966,,,,,
BLR,1967,,,,,
BLR,1968,,,,,
BLR,1969,,,,,
BLR,1970,,,,,
BLR,1971,,,,,
BLR,1972,,,,,
BLR,1973,,,,,
BLR,1974,,,,,
BLR,1975,,,,,
BLR,1976,,,,,
BLR,1977,,,,,
BLR,1978,,,,,
BLR,1979,,,,,
BLR,1980,,,,,
BLR,1981,,,,,
BLR,1982,,,,,
BLR,1983,,,,,
BLR,1984,,,,,
BLR,1985,,,,,
BLR,1986,,,,,
BLR,1987,,,,,
BLR,1988,,,,,
BLR,1989,,,,,
BLR,1990,,,,,
BLR,1991,,,,,
BLR,1992,,,,,
BLR,1993,,,,,
BLR,1994,,1,,,1
BLR,1995,1,1,,,1
BLR,1996,,1,1,,1
BLR,1997,,,1,,
BLR,1998,,,1,,
BLR,1999,,,1,,
BLR,2000,,,1,,
BLR,2001,,,,,
BLR,2002,,,,,
BLR,2003,,,,,
BLR,2004,,,,,
BLR,2005,,,,,
BLR,2006,,,,,
BLR,2007,,,,,
BLR,2008,,,,,
BLR,2009,,,1,,
BLR,2010,,,,,
BLR,2011,,,1,,
BLR,2012,,,,,
BLR,2013,,,,,
BLR,2014,,,,,
BLR,2015,,,1,,
BLR,2016,,,,,
BLR,2017,,,,,
BLR,2018,,,,,
BLR,2019,,,,,
BLZ,1950,,,,,
BLZ,1951,,,,,
BLZ,1952,,,,,
BLZ,1953,,,,,
